# Isothermal calorimetry of a CEM I paste — holdout
#
# Source dataset: Šmilauer V., Reiterman P. (2025), Isothermal calorimetry
#   database of 65 cements and approximations. Zenodo.
#   doi: 10.5281/zenodo.15212785
#   license: CC-BY-4.0  <https://creativecommons.org/licenses/by/4.0/>
#   source file: 116-CEM I 52.5 R Ladce-415.csv
#
# Companion article, to be cited (CC BY-NC-ND 3.0 — cite, do not reproduce):
#   Šmilauer V., Edelmannová J., Reiterman P., Isothermal calorimetry database
#   of 65 cements with analytical approximations, Ceramics-Silikáty 70(1),
#   25-33 (2026). doi: 10.13168/cs.2025.0048
#
# cement: CEM I 42.5R Ladce-415
# blaine: 415 m2/kg
# wb: 0.45
# temperature: 20C
# Truncated from line: 2 with assigned time: 0.75 h normalized with binder mass: 20.483 g
# Released heat up to 45 minutes (J/g of binder): 12.0 estimated
# reference fit by the depositors: Fitted affinity hydration model, B1 1.078123 h^-1, B2 1.370e-03, eta 7.1694, DoHInf 0.85, Qpot 500.0 J/g, Ea 38300.0 J/mol
#
# Subset of the source record: 458 of 11951 rows, chosen as
#   the rows nearest to 500 log-spaced times. Values are verbatim; no
#   interpolation, no smoothing. Regenerate with data/experimental/regenerate.jl
#
# The fourth column is NOT a measurement: it is the depositors' own
#   affinity-model fit, read off their tabulated curve at the row nearest
#   in time. It is carried so that a fit can be judged against somebody
#   else's on the very same record.
#
# columns: hydration time (h), heat flow (W/g of binder), heat (J/g of
#   binder), depositors' fitted heat (J/g of binder)
time_h,heat_flow_W_per_g,heat_J_per_g,reference_fit_J_per_g
1.2115715327527787,0.0009821655995153453,0.18848586169537399,0.0
1.2631430655055573,0.0009439948780271716,0.36728894837381876,0.0298
1.3147145983245636,0.0009058250602623719,0.5390054377559712,0.062
1.36628613114357,0.0008843534891542625,0.705185491019589,0.097
1.4178576638963485,0.0008628825008677614,0.8673792395748469,0.1348
1.4694291967153548,0.0008515952546462076,1.0265320820795476,0.1549
1.5210007295343608,0.0008403083901801705,1.1835893979019148,0.1979
1.5725722622871396,0.0008353428763622413,1.3391380254164238,0.2446
1.624143795106146,0.0008303776158472678,1.493764791672717,0.2695
1.675715327925152,0.0008294597647789231,1.647845435981235,0.3228
1.7272868606779308,0.0008285420863633355,1.8017556901678664,0.3513
1.7788583934307096,0.000830345197561932,1.9557481379808828,0.3811
1.830429926249716,0.0008321484318584302,2.1100753585687566,0.445
1.8820014590687222,0.0008359027370297285,2.2649184786489323,0.4793
1.933572991821501,0.0008396571355143356,2.420458622171999,0.5153
1.9851445246405068,0.0008448405766864784,2.576828454458947,0.5926
2.036716057459513,0.000850024089903099,2.7341606382571833,0.6341
2.0882875902122917,0.0008563298640042924,2.8925593581363667,0.6778
2.1398591230312984,0.0008626356975917843,3.0521287981106364,0.7238
2.1914306558503043,0.0008698960963917416,3.212957574602743,0.7721
2.243002188603083,0.000877156548242054,3.375134303433152,0.8766
2.294573721355862,0.0008852673702538166,3.538737928539735,0.9331
2.3461452541748677,0.0008933782417424849,3.7038473935341414,0.9926
2.3977167869938745,0.000902279974399089,3.870536117459977,1.0555
